"c_id" "s_id" "t" "cov" "y"
1 1 0 -1.42524458660465 2
1 1 1 -0.856371554127011 3
1 1 2 1.61815081782488 3
1 1 3 -0.907616043289443 3
1 2 0 -1.72196342793963 3
1 2 1 0.151515123545775 3
1 2 2 0.32375154889113 3
1 2 3 -0.952849138470352 3
1 3 0 -0.365396964606077 1
1 3 1 -0.995196052031233 1
1 3 2 1.11040473662335 3
1 3 3 -2.38174316180714 2
1 4 0 0.107098269685183 3
1 4 1 -0.41277506578151 3
1 4 2 0.777280439242084 3
1 4 3 1.69017412254388 3
2 5 0 0.411142570782592 3
2 5 1 0.320873115274703 3
2 5 2 -0.693836575798025 3
2 5 3 -1.03677202157293 3
2 6 0 -0.970014871311781 2
2 6 1 0.46330597764642 3
2 6 2 -1.4995752335246 3
2 6 3 -0.0458713205004029 2
2 7 0 0.53876208175501 3
2 7 1 0.355410460607849 3
2 7 2 -1.27952278210307 3
2 7 3 -0.542561864258731 3
2 8 0 0.0102989679936508 2
2 8 1 0.184343269816959 2
2 8 2 -0.32096490671474 3
2 8 3 1.99184563055466 3
3 9 0 -0.113661794849712 3
3 9 1 -0.232662558729533 3
3 9 2 -0.409591757291995 3
3 9 3 1.13462403774001 3
3 10 0 -0.110929031595227 3
3 10 1 -0.539926822209167 3
3 10 2 -0.297966963389709 3
3 10 3 -0.691275638946011 3
3 11 0 -0.714784440398811 3
3 11 1 -0.359335435913136 3
3 11 2 -0.169065425496972 3
3 11 3 -0.853261795409765 3
3 12 0 0.458441646622453 2
3 12 1 -0.907841053322309 3
3 12 2 -0.0765057433955476 3
3 12 3 -0.510580460372611 3
4 13 0 -0.775516662199652 2
4 13 1 -0.415935559039617 3
4 13 2 0.0608912340768364 3
4 13 3 -0.0500568447795612 3
4 14 0 1.90444015193035 3
4 14 1 -0.846798454936768 2
4 14 2 -0.635534580706177 3
4 14 3 0.324224442255424 1
4 15 0 -0.390110584311446 1
4 15 1 0.387774226567593 2
4 15 2 -0.512243473622547 2
4 15 3 -0.170169324304757 3
4 16 0 -1.26817748243924 1
4 16 1 0.125530830796297 1
4 16 2 -0.0200111436328255 3
4 16 3 1.31955320784322 3
5 17 0 1.88129725539107 3
5 17 1 -0.503137796192868 1
5 17 2 -2.57598184971364 3
5 17 3 -0.894389642865634 3
5 18 0 1.39350316640033 3
5 18 1 -0.441555648651238 3
5 18 2 0.548537561668064 2
5 18 3 -1.23626410068577 3
5 19 0 -1.71186716286864 2
5 19 1 -0.394424355290284 1
5 19 2 -1.66476711011173 1
5 19 3 -0.531891613813956 2
5 20 0 0.652323067122837 1
5 20 1 -0.0830670056979318 1
5 20 2 -0.484737775539322 3
5 20 3 -1.29685315856343 3
6 21 0 -1.36015438057506 2
6 21 1 0.0712056057463541 3
6 21 2 0.705727336075424 2
6 21 3 1.64974113856285 3
6 22 0 0.463364190124795 3
6 22 1 -0.460533235928167 1
6 22 2 0.854174320932586 3
6 22 3 0.312770488434127 3
6 23 0 -0.286958025486709 3
6 23 1 1.57482300680976 3
6 23 2 -0.388362262045197 3
6 23 3 0.333744804603948 3
6 24 0 1.25066152938469 3
6 24 1 0.0158662540416629 3
6 24 2 0.769150259857506 3
6 24 3 -0.714948698958161 3
7 25 0 0.272235872385199 2
7 25 1 1.00200712225153 3
7 25 2 1.02632794099384 3
7 25 3 -1.08053518926477 3
7 26 0 -1.32713480622488 2
7 26 1 1.1018902605876 3
